# Generated by generate_gtdb_organism_table.py from bac120_metadata_r226.tsv.gz (GTDB release r226) on 2026-07-27. Do not hand-edit; re-run the generator instead.
gtdb_species	amrfinder_organism	ncbi_species	percent_agreement	n_genomes	rule
Campylobacter_D coli	Campylobacter	Campylobacter coli	99.3	1603	unsuffixed_epithet
Campylobacter_D coli_A	Campylobacter	Campylobacter coli	100.0	90	suffixed_epithet_strong_evidence
Campylobacter_D coli_B	Campylobacter	Campylobacter coli	100.0	70	suffixed_epithet_strong_evidence
Campylobacter_D jejuni	Campylobacter	Campylobacter jejuni	97.3	3419	unsuffixed_epithet
Enterococcus_B faecium	Enterococcus_faecium	Enterococcus faecium	97.3	3907	unsuffixed_epithet
Haemophilus influenzae_D	Haemophilus_influenzae	Haemophilus influenzae	100.0	89	suffixed_epithet_strong_evidence
Haemophilus influenzae_E	Haemophilus_influenzae	Haemophilus influenzae	100.0	149	suffixed_epithet_strong_evidence
Haemophilus influenzae_H	Haemophilus_influenzae	Haemophilus influenzae	100.0	87	suffixed_epithet_strong_evidence
Haemophilus influenzae_J	Haemophilus_influenzae	Haemophilus influenzae	100.0	21	suffixed_epithet_strong_evidence
Helicobacter pylori_A	Helicobacter_pylori	Helicobacter pylori	100.0	36	suffixed_epithet_strong_evidence
Helicobacter pylori_BU	Helicobacter_pylori	Helicobacter pylori	100.0	376	suffixed_epithet_strong_evidence
Helicobacter pylori_C	Helicobacter_pylori	Helicobacter pylori	99.8	660	suffixed_epithet_strong_evidence
Helicobacter pylori_CI	Helicobacter_pylori	Helicobacter pylori	100.0	31	suffixed_epithet_strong_evidence
Helicobacter pylori_CJ	Helicobacter_pylori	Helicobacter pylori	100.0	27	suffixed_epithet_strong_evidence
Helicobacter pylori_CN	Helicobacter_pylori	Helicobacter pylori	100.0	318	suffixed_epithet_strong_evidence
Helicobacter pylori_CP	Helicobacter_pylori	Helicobacter pylori	100.0	52	suffixed_epithet_strong_evidence
Helicobacter pylori_CR	Helicobacter_pylori	Helicobacter pylori	100.0	20	suffixed_epithet_strong_evidence
Helicobacter pylori_CT	Helicobacter_pylori	Helicobacter pylori	100.0	97	suffixed_epithet_strong_evidence
Helicobacter pylori_CU	Helicobacter_pylori	Helicobacter pylori	100.0	80	suffixed_epithet_strong_evidence
Helicobacter pylori_CV	Helicobacter_pylori	Helicobacter pylori	100.0	74	suffixed_epithet_strong_evidence
Helicobacter pylori_CW	Helicobacter_pylori	Helicobacter pylori	100.0	66	suffixed_epithet_strong_evidence
Helicobacter pylori_CX	Helicobacter_pylori	Helicobacter pylori	100.0	35	suffixed_epithet_strong_evidence
Helicobacter pylori_CY	Helicobacter_pylori	Helicobacter pylori	100.0	32	suffixed_epithet_strong_evidence
Vibrio vulnificus_B	Vibrio_vulnificus	Vibrio vulnificus	99.0	200	suffixed_epithet_strong_evidence
