# macsyfinder 2.1.6  (using MacSyLib 1.0.4 )
# models : CONJScan-2.1.0
# <scratch>/macsy_env/bin/macsyfinder --models CONJScan/Chromosome all --sequence-db <validation-root>/hybrid_screen_batch2/output_dir/04.annotation/bakta/386/386.faa --db-type ordered_replicon --models-dir <scratch>/macsy_models --out-dir <scratch>/conjscan_386 --worker 8
# Systems found:
replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_loci	locus_num	sys_wholeness	sys_score	sys_occ	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	counterpart	used_in
386	386_00040	T4SS_MOBP1	40	CONJScan/Chromosome/MOB	386_MOB_1	1	1	0.667	1.200	1	T4SS_MOBB	mandatory	546	1.9e-43	146.900	0.991	0.498	1	272		
386	386_00044	T4SS_t4cp2	44	CONJScan/Chromosome/MOB	386_MOB_1	1	1	0.667	1.200	1	T4SS_t4cp1	accessory	589	1.9e-37	126.500	1.000	0.387	324	551		

386	386_01146	T4SS_t4cp2	1119	CONJScan/Chromosome/MOB	386_MOB_2	1	1	0.667	1.200	1	T4SS_t4cp1	accessory	603	2e-27	93.700	0.932	0.345	350	557		
386	386_01151	T4SS_MOBF	1124	CONJScan/Chromosome/MOB	386_MOB_2	1	1	0.667	1.200	1	T4SS_MOBB	mandatory	1191	2.3e-165	550.100	0.997	0.762	2	909		

